,X,Objective function
0,0.14272436110880338,0.11109183095287861
1,0.8070111400333264,-0.04617835165194401
2,0.22734605557246734,-0.15220364835744582
3,0.06639186173256673,0.03504829708349992
4,0.28014353193986463,0.12550872581926292
5,0.646380577486561,-0.15230166611459184
6,0.09753585033675771,-0.13718106278595346
7,0.45157434981279876,0.000986341932263518
8,0.21259454524464028,-0.07338958370961923
9,0.06427537959744001,-0.10894717169202732
10,0.6519266865356967,-0.07256521611149853
11,0.8306799109697057,-0.006786466848796593
12,0.34367085985164425,0.03701491376389843
13,0.3276447690676121,0.01890216366207694
14,0.35948924499944257,-0.0819244048782413
15,0.12967078816142286,-0.10082570375328681
16,0.007094624397600668,-0.020296652247731233
17,0.41730543567448175,0.1313456431283382
18,0.08932175109261131,-0.0134804781635946
19,0.22145615857193546,-0.055290777543681176
20,0.1824161214260095,-0.13597891116503769
21,0.5747979931254737,0.17477778342467673
22,0.945626063321984,0.1898452173323101
23,0.02653833126607774,-0.056343574832486816
24,0.8210426937996647,-0.19259755640347162
25,0.9621798025592959,0.1386680384693221
26,0.8865407151717377,0.5541903985984601
27,0.49604286948072907,0.06615156177627349
28,0.5735382765503643,-0.12286769444234447
29,0.10780676565705971,0.004638455489868401
30,0.5379903848452708,0.017592814681489544
31,0.7254615432797381,0.3028695570344632
32,0.2401583315065754,0.13668105501297384
33,0.8672689629971566,0.27301072445899627
34,0.2303535283099002,-0.15027357987701245
35,0.8104041513077994,-0.03215339700534513
36,0.36535821069707664,0.04872984765081154
37,0.08338140240299985,-0.23765402427729915
38,0.06561737658074185,0.023928105299090504
39,0.6513829654792439,0.13154666850263738
40,0.011752412859170502,-0.13995434226474573
41,0.5229669224630975,0.14672839515271974
42,0.5732633224068167,-0.01396758805137964
43,0.863250996578221,0.1499639734660112
44,0.4428381798745952,-0.0009274719596935651
45,0.12379878578830306,-0.18537700763012152
46,0.27173282164446444,0.08662162069273474
47,0.12676133217748609,0.03929972368293898
48,0.07376496906088448,-0.0021453512059742396
49,0.6890659312690587,0.2576017729863574
50,0.6472055483880638,0.042062107093505684
51,0.3876901685883788,-0.1277981400925748
52,0.3641427141992799,0.10088175484813366
53,0.5817512374200453,-0.03667159335387195
