1 818
2 818
3 -997
4 -812
5 -601
6 -73
7 21
8 704
9 874
10 -986
11 -486
12 -996
13 629
14 712
15 -595
16 -990
17 -27
18 885
19 -851
20 -666
21 942
22 719
23 -28
24 -999
25 -996
26 -961
27 -153
28 46
29 124
30 999
31 -545
32 468
33 -106
34 413
35 847
36 55
37 -74
38 -959
39 -987
40 754
41 -104
42 836
43 -549
44 668
45 136
46 -819
47 12
48 -659
49 766
50 578
51 777
52 -181
53 -996
54 419
55 -90
56 215
57 -973
58 637
59 -963
60 -994
61 932
62 909
63 -160
64 783
65 -888
66 664
67 319
68 -795
69 -728
70 -984
71 411
72 992
73 -996
74 811
75 -848
76 -913
77 -311
78 895
79 -845
80 -986
81 -461
82 -388
83 -812
84 979
85 76
86 972
87 774
88 -71
89 920
90 248
91 649
92 -495
93 506
94 825
95 -142
96 -568
97 -953
98 957
99 -915
100 -761
