1 818
2 818
3 632
4 212
5 337
6 800
7 -526
8 -940
9 -963
10 -611
11 -932
12 -173
13 -336
14 -362
15 -98
16 -470
17 678
18 816
19 393
20 752
21 943
22 -368
23 581
24 59
25 127
26 -946
27 971
28 81
29 907
30 -590
31 -937
32 851
33 816
34 471
35 -787
36 975
37 914
38 984
39 -112
40 400
41 -516
42 631
43 -977
44 224
45 574
46 0
47 985
48 -999
49 938
50 -980
51 -599
52 209
53 -462
54 545
55 140
56 -763
57 -42
58 950
59 934
60 -171
61 999
62 298
63 510
64 770
65 -911
66 -578
67 970
68 884
69 235
70 -552
71 435
72 984
73 948
74 275
75 -445
76 977
77 -154
78 -387
79 -433
80 -982
81 -42
82 -502
83 -797
84 -614
85 -374
86 890
87 267
88 821
89 -999
90 -782
91 -733
92 -960
93 388
94 503
95 -978
96 713
97 -453
98 -929
99 -613
100 995
