POS
"(12.504742, 12.300289)"
"(11.815114, 7.606596)"
"(10.120926, 13.0830145)"
"(13.815084, 10.221305)"
"(10.028167, 11.327778)"
"(10.04475, 14.583849)"
"(10.588174, 7.6475463)"
"(14.13695, 8.890251)"
"(10.903151, 15.1983595)"
"(6.2368045, 12.621881)"
"(12.24397, 11.016788)"
"(8.422848, 12.0982065)"
"(6.911563, 13.5711355)"
"(7.6934023, 13.539484)"
"(13.622312, 9.440136)"
"(10.165505, 8.920582)"
"(11.832217, 14.583652)"
"(13.862095, 7.871572)"
"(13.138699, 11.710758)"
"(11.122962, 10.654735)"
"(6.6233053, 11.688836)"
"(11.813849, 11.4848175)"
"(11.26983, 8.901554)"
"(8.896949, 13.007713)"
"(10.71359, 6.4348197)"
"(11.461466, 9.731877)"
"(11.356461, 7.1760144)"
"(7.6013093, 12.0878315)"
"(10.817255, 8.113551)"
"(10.034653, 10.14639)"
"(10.582116, 11.508578)"
"(12.320568, 12.664338)"
"(12.652257, 10.715138)"
"(12.962198, 8.050161)"
"(10.642082, 10.07916)"
"(8.819056, 9.980659)"
"(10.791647, 14.349351)"
"(7.0452194, 11.080466)"
"(9.541644, 9.191738)"
"(9.920755, 7.2140536)"
"(7.81548, 10.67755)"
"(11.69192, 13.863189)"
"(9.08004, 11.185993)"
"(12.60521, 9.702807)"
"(9.55661, 12.440197)"
"(7.397956, 12.59218)"
"(13.937457, 10.84043)"
"(11.299691, 12.34424)"
"(10.637069, 13.4403)"
"(12.535588, 8.518264)"
