POS
"(1.830004773580468, 1.4394645707101528)"
"(-10.30394787592263, 0.4287863557039672)"
"(6.22171648901694, -2.0960702432898106)"
"(1.616257124502861, -9.097488357051644)"
"(-7.540589755722457, 1.9941594090774823)"
"(5.907570864455686, 2.714656976051921)"
"(0.1250379242984262, 4.6571574140883)"
"(-2.1043310104400224, 7.745227911064571)"
"(-8.435018942580319, -0.994371670989647)"
"(2.6016967867598826, -3.9830093839828717)"
"(6.033248052174896, -0.665597896798265)"
"(-3.1027915269543667, -3.7688947208741848)"
"(-7.213967737852948, 3.4147190324661283)"
"(3.187106603193114, 1.501390106525314)"
"(0.4203696617293847, -9.376979864179585)"
"(-8.24737360413668, -2.7573378859278885)"
"(-2.0424176834025687, 2.6675984363403424)"
"(-1.7069142925918035, 5.660787647349351)"
"(0.1111274563285495, 2.65877638452779)"
"(-7.147941894193689, 2.901650520852078)"
"(2.4392223125762484, -1.249085736231492)"
"(0.371430774101977, 8.194397776001239)"
"(8.13057323076031, -3.250086204146604)"
"(5.267959174424998, 1.8685000524923154)"
"(0.12645561339190267, 6.155303128480048)"
"(0.4723233982486815, 5.176897330445241)"
"(-7.779263679120747, 1.0265307806084771)"
"(3.112625663387698, -5.38007070578009)"
"(-0.5731165413758949, -10.280858097198344)"
"(-4.89011265203076, -0.42395583659478314)"
"(-2.7897600161387985, 7.6874590815964465)"
"(-6.40576369865576, -1.3486066977533795)"
"(-3.575503403808022, -4.093320358103975)"
"(-7.330342209641854, -2.331145024628519)"
"(6.192995678565648, -3.0754231526429257)"
"(3.9824754101889654, 0.15068075268193687)"
"(-1.647455519631738, -4.782580436624582)"
"(-1.649657594531941, -1.4959263678490278)"
"(-7.1894344965671735, -2.521458904788023)"
"(-5.6178670255257375, -5.803932936607053)"
"(-3.775923105395183, -7.1265003403264755)"
"(-3.1873321007560893, 4.739173286593331)"
"(-1.9860759081429769, 3.669158187368138)"
"(4.416371327965598, -5.7528196243349905)"
"(2.611830861333331, 7.635313883020616)"
"(-1.6127690736605436, -2.8475473379930887)"
"(-4.522192886222415, -6.806082397120144)"
"(6.064125845051329, 2.272445773916568)"
"(5.242860769806993, -1.4341981370381527)"
"(-3.0199892512824777, 3.375041837978331)"
"(1.9001584144417654, 7.409508155981583)"
"(3.9403177907967035, 2.4402162130034926)"
"(5.03233498725284, -0.43443120876269425)"
"(-0.9955276089466418, 6.583852195146523)"
"(6.191378549052381, -3.030491418710522)"
"(-3.779355461796369, -6.460150812985464)"
"(-5.405682581999173, -4.628022098389625)"
"(-3.1777834457367167, -4.301348874084747)"
"(3.2550299285271582, -1.2374813690472521)"
"(5.852844542665794, 4.473181973121446)"
"(-3.0440170929412718, -8.386083962882408)"
"(1.3766924202202289, -4.370943966648201)"
"(4.079171319395259, 0.6574436719003746)"
"(2.3454923451652405, 2.8983803168887516)"
"(1.4786619492435995, -4.732964596525821)"
"(2.6296814570878237, -8.357528709022992)"
"(6.015514717078599, 1.6450471653187657)"
"(-5.395970590676399, -4.572293780151566)"
"(1.8451483151359984, 2.0615293965817987)"
"(8.3078827587821, -2.402851032103804)"
"(3.658440344259594, -4.337263492995984)"
"(-2.610438722812705, -1.7375363832256443)"
"(-0.6257841212194313, -6.154415988750738)"
"(2.5747483613299473, 5.4187818504506335)"
"(0.13025430801957508, 4.65906281727383)"
"(1.2349886563045822, -1.7937757076179692)"
"(-2.080833577256915, 2.517604612313743)"
"(1.756611003730694, 2.308131378726788)"
"(1.9005850546731469, -5.733084297320703)"
"(2.07952776166048, -1.5020206162126457)"
"(3.9660295732500486, -6.540102817639408)"
"(-5.934566271424622, 3.0280105131557877)"
"(-3.7385968022904024, -3.2715473579909293)"
"(0.9016480899291204, 6.182664166537316)"
"(-3.283971229687192, -5.098363113934964)"
"(6.935094859572578, 2.784522977269378)"
"(3.418560425430378, 6.548557921047019)"
"(-0.7765264021991372, 0.8526652311009713)"
"(-7.504849380613166, 1.9965705048028417)"
"(1.829919378569395, 1.4393947404455143)"
"(6.654075609626874, 3.4093364584358996)"
"(1.0013509635101925, -4.410899591523183)"
"(-6.322382593526732, -1.815516309329146)"
"(-3.1060057211176657, -3.8557874980706917)"
"(-8.36208544597691, -0.011917264813957287)"
"(1.0256258109320258, 2.7413862688849227)"
"(-5.528752464471635, 5.625936747282115)"
"(1.4584234187718088, -1.733105421226827)"
"(3.3976950686921668, -2.311717908629829)"
"(4.864345138529216, 5.6343873608951665)"
"(-5.018835297018225, 2.284253972477058)"
"(2.6205832360947694, 7.004563593490094)"
"(2.5664475961416895, -7.227462481120395)"
"(-4.7388625965106534, -6.677241582059791)"
"(2.183420375929908, -7.183393442200359)"
"(8.174873885712625, -3.236928134470536)"
"(9.284482097557373, -1.3318577158146558)"
"(-0.05015184293196618, -10.403032295559568)"
"(-7.717485474903924, 1.1457757305728673)"
"(-6.220822824696134, -3.8794884330046973)"
"(-5.463743471177293, -3.1177395446444454)"
"(10.110863398160186, 1.2118757184987539)"
"(-0.45997636362040656, 5.982755109603463)"
"(1.1950555552003788, -1.7956897541775325)"
"(2.5730292291156793, 4.016297880547382)"
"(4.267671117764271, 3.1906197588352336)"
"(0.23848104309639778, -1.0758009484734274)"
"(-6.599375914839813, -4.767084367879242)"
"(-4.428533900159576, -1.1638056089333964)"
"(4.595357162426917, 5.027924360469954)"
"(5.822972440562154, 2.74676484506165)"
"(4.169662697726893, -3.9370433617941485)"
"(-5.296057593686674, 1.697752869373315)"
"(2.7683012927820374, 7.98880025694616)"
"(-1.5720447682174605, 5.251196339961171)"
"(-4.13846010969665, 3.7664994897866153)"
"(4.602421216229931, -6.738728241567001)"
"(2.40612845427397, 4.681010526230546)"
"(-2.000763973922539, -0.45824558253485365)"
"(-7.12120789980239, -2.6958744062823152)"
"(-1.2430429624570887, 4.658663542065985)"
"(-2.739789466758869, 0.4737835970204053)"
"(9.098338532568144, 1.107523334650045)"
"(0.9689329555086288, -0.046395190584971054)"
"(-0.18576027525453404, -5.210561468138623)"
"(-5.279744326842099, -1.8985363369327455)"
"(0.6471177504821986, -9.259920974426906)"
"(-1.0281718972278973, 3.6153563023227235)"
"(1.143799084500177, 0.07272506922953847)"
"(-4.402628034596596, -1.2241570278056955)"
"(-5.181387259126101, -3.4914116934530997)"
"(4.49800059473494, 5.172707721079122)"
"(-2.846391863829682, 3.4872016091763536)"
"(1.3315912601502737, -10.194422495317415)"
"(3.966539540237418, -6.582449370230826)"
"(2.095686538451519, -9.948296073148507)"
"(1.8574942780691452, -0.6743141456639719)"
"(-2.7686056855246837, 0.048653884996210414)"
"(-2.422547905201216, -8.448075757332742)"
"(7.186533876329506, -3.894044802165895)"
"(1.8005769565599599, -6.839854875858024)"
"(2.770258046855149, -3.796170268312513)"
"(4.501356616417879, -1.441736257157685)"
"(9.285935261014204, -0.02935488434439652)"
"(2.9792122260696443, -7.638017414559947)"
"(7.269287273158248, -2.4216723503531576)"
"(9.235286293355822, -1.9758940025940164)"
"(-8.691151807986405, 1.6554220977839766)"
"(-0.7343213525555246, -1.1617961980760134)"
"(0.3402195058624394, -6.109447621854302)"
"(2.67009324161941, -3.949454590002288)"
"(-4.811979702525715, 1.6809209599319603)"
"(-0.32397936953613615, 4.361794875052196)"
"(-3.0448533297365756, -8.392072814529973)"
"(1.4831547698348306, 1.9518850986786078)"
"(3.569541581510417, -8.093431989392506)"
"(5.149280078429319, 0.2328405542422437)"
"(-4.225122893000106, 1.5140307788960965)"
"(0.06846871528559115, -3.550417371450745)"
"(-5.6178670255257375, -5.803932936607053)"
"(-1.1251964832202201, 4.263437195407553)"
"(-0.6254514542923938, -3.0146766867016885)"
"(-0.31716785958257976, 9.240223667320157)"
"(-8.24737339282855, -2.7573385955371306)"
"(-3.1569127614500117, -4.9908676777182945)"
"(-3.1323371366230113, -8.425533820459883)"
"(-2.085048860551956, -6.427372782593144)"
"(-2.5098599493311338, -7.419951667338239)"
"(-5.01172154856583, 6.714742835140164)"
"(8.145867683234423, -3.2605955205210857)"
"(1.5328313560772349, 3.5661902947635062)"
"(9.34729438762283, 0.8738058954525519)"
"(1.8582756908766282, -6.184550966412376)"
"(4.901938013471434, 2.408945630668039)"
"(0.18339315702697612, -10.315783491308752)"
"(1.4785918494720924, -4.73273725626351)"
"(9.322399131478278, -1.3490588004913888)"
"(6.178437127713778, -0.31026453740029636)"
"(3.962689940067217, 5.711242743340462)"
"(0.4904626506373069, -3.4915426392874824)"
"(-2.225236126302393, 2.512240544935427)"
"(-5.6544647755343895, 2.2452107260372447)"
"(-3.380166079178312, -2.2550341035583483)"
"(-5.443840341017592, -4.779616137806682)"
"(2.2473122133234296, -3.0831688217245206)"
"(-1.3227214782623982, 6.411144028779539)"
"(5.502640030304754, -0.7541916504424361)"
"(-0.8087590613843032, -10.393130474524849)"
"(0.3668271896031889, -1.1653102414026513)"
"(-0.7329700839633125, -1.16200200636426)"
"(2.618869916508273, 7.002684110853483)"
"(-9.214235173722253, 0.9420518631667576)"
"(-6.403843229896404, -5.258697214200371)"
"(1.2469501250703976, 0.9402861261076982)"
"(9.051763441021821, 2.1611787116245313)"
"(-7.288059841528892, -2.1572681135685214)"
"(-1.9543432335292918, -5.778604304545695)"
"(8.242521694101669, 1.7743173309907934)"
"(2.2394945625872404, 1.6739594982036408)"
"(-5.258330368403113, -3.3647271268026353)"
"(-3.6092084716192936, 1.6457470025877368)"
"(-1.094307318766358, 8.673689450591407)"
"(-1.1312297346521125, -3.996044085092904)"
"(5.852551544246003, 4.47296407098313)"
"(-2.1121120809630667, 2.7048330170090846)"
"(10.281271575676666, -0.49691091295267104)"
"(3.07009710293511, -0.2213492467031758)"
"(6.377530198431293, -1.77653407228126)"
"(2.6253013602370747, 6.976015738645499)"
"(-0.5874049351147835, -1.9937029631777499)"
"(0.27044792898124226, -4.548148759172169)"
"(2.8678395855811214, 2.412894074183589)"
"(-2.4374446039231477, 6.569893930451105)"
"(4.1387512348123385, -8.099631136611833)"
"(5.051191883226088, -6.781366559806981)"
"(-6.276560796240611, -2.263732603984142)"
"(-3.9641063599361748, -3.987887669939359)"
"(-1.1552204096531506, -5.072048489726376)"
"(-5.886908209002402, 1.4394039057832146)"
"(5.5473828940720855, -5.712824595852808)"
"(-6.397172789056025, -0.5406886242908187)"
"(-1.5383305247823613, 8.697810792129063)"
"(-4.27137785315341, 3.455064748750363)"
"(2.568249421894474, -4.080114683141344)"
"(2.2381039173087323, -9.485348026111046)"
"(1.0183369486114917, -1.107604071720392)"
"(-4.409533844872145, -2.63472292142583)"
"(-1.8109295141037012, 5.192156330924708)"
"(-2.720817409674351, 8.330456140990815)"
"(7.507084141785358, -1.3136527035663592)"
"(-0.7602531143339839, -10.61522900656233)"
"(-1.2354405134718807, 4.677216040072791)"
"(4.303279522462418, -1.752372779907572)"
"(4.330710791487471, 6.36152469308225)"
"(-9.343223506567968, 0.40194358378026757)"
"(-3.030745780694473, -8.37205430750465)"
"(1.3467226643467844, 6.470815843076805)"
"(6.159093373457578, -2.217770292594925)"
"(10.125614219274896, 0.38750811735899066)"
"(4.087366541062274, -2.7241378523278525)"
"(1.033481013802472, 5.497857428552118)"
"(0.8753667500182892, 9.531526512663472)"
"(7.00951207569052, 0.7885324798683508)"
"(-2.0444707571626775, 2.6690656297058357)"
"(4.108444800975284, -1.8846607248788665)"
"(-8.431084954925124, -0.9050571759298264)"
"(10.102216515536592, 0.3833996589003415)"
"(-2.980860245274459, 7.501451805618027)"
"(1.0256262602021322, 2.7413863387661044)"
"(8.06926171565042, 2.5004032073358906)"
"(-6.150483117164411, 3.8447075890069553)"
"(-1.1271863746722008, 8.694988481658527)"
"(-1.791058717810558, 1.7781605331198889)"
"(6.042941084298008, -4.468450818525859)"
"(2.6854891530875986, -4.036440133220006)"
"(-0.6253101423096392, -6.151979254805723)"
"(-1.3603741899387423, -0.8493197447859033)"
"(1.1009866498423522, -11.14159924598393)"
"(-5.709947880858075, 0.6177792716369593)"
"(-4.0560201124831625, 7.010300161876731)"
"(-5.416941375952318, -0.5766725102147158)"
"(6.180067640589398, 0.722100745115451)"
"(5.2987683400744, -3.5806987397214645)"
"(-6.226549484609517, -3.8769755699922044)"
"(-1.2983386307841744, 4.260893995975387)"
"(4.78505224581482, 4.690433117503566)"
"(7.395012980111289, -1.921151634055206)"
"(0.46575036548494697, 1.7028209885527477)"
"(-6.164778937149163, -3.7978519697723576)"
"(2.132242445620367, -1.367887756525472)"
"(9.32385046561398, -2.9574934780700075)"
"(3.0779026104539677, -8.28131320423718)"
"(-6.05074803988491, -2.7653472116095306)"
"(2.343539758073317, 4.869352706695254)"
"(-1.655212455620382, -8.173826565934075)"
"(-7.354668704052493, 0.006023212626267843)"
"(4.967111623465483, -1.1122870944128742)"
"(-2.8789168839005037, 5.508013574768022)"
"(5.8528448667935375, 4.473181500470687)"
"(-5.473957138060172, -2.994492415233478)"
"(4.359672810350848, -5.815382128560858)"
"(6.968434574160837, 1.7679285707179968)"
"(3.3186364450154073, -4.792341812646642)"
"(0.8753667500182892, 9.531526512663472)"
"(-4.3687932636981754, 5.985809982017022)"
"(6.16564045862969, 0.3885480800841729)"
"(-0.8589980891565269, 6.305519262239225)"
"(3.976778204776674, -5.76197842737154)"
"(7.392994519120467, 3.5861209222699655)"
"(0.8754066627033884, 9.53198694139087)"
"(-3.8992498889861626, -7.563917528542777)"
"(-9.379314623848355, -0.6477590504068497)"
"(1.7906322474775718, -6.833845516567111)"
"(-4.2329866306942145, -3.1173915027723558)"
"(8.37374159814865, -0.8388576510384452)"
"(-4.225067597835671, 1.5136336884032384)"
"(-7.193099809874779, -2.2105071250191832)"
"(-2.8329994953998, 7.610967561208338)"
"(-2.0809358270163587, 2.517730174489418)"
"(-1.7193243220306504, -3.3537533670685655)"
"(1.663088697399529, 9.385390822290024)"
"(-2.308388582649082, 4.537224053681444)"
"(8.252124071402303, -0.22259518289209937)"
"(-1.3056449385166253, -10.298655611362607)"
"(-5.0749150782509584, 4.261516624426707)"
"(-1.910672540317975, 6.721261477154692)"
"(0.2156166136898127, -2.532586955576558)"
"(4.5006503717400825, -0.5699668127115847)"
"(3.9765008186463673, 0.1511880047622039)"
"(4.900143547576078, -4.642795344422724)"
"(6.326226821855405, -3.0698578374787533)"
"(-3.775923105395183, -7.1265003403264755)"
"(3.825015703446438, 1.18078186215653)"
"(2.5845283937363996, 8.269586158595958)"
"(-4.453921389288709, -2.4937253000917234)"
"(-3.6491287002826507, 0.38821130857949937)"
"(-3.4331835562060657, 1.4118109417163933)"
"(-1.9697040293011037, -5.4058000363639245)"
"(-2.967246614593112, 6.568655665915877)"
"(-8.281294828328045, 2.5468285911993696)"
"(5.164289206230046, -4.387604118803106)"
"(1.5019928564971319, 5.406442700957252)"
"(-3.240566237860769, -6.171256051961581)"
"(-2.4100576657459976, -4.603201613362858)"
"(-6.971532182315346, 0.6663487069850735)"
"(-3.0028628733340303, 4.34315319110273)"
"(7.811096990322898, 3.436769534517815)"
"(-1.688944511238919, -8.112957180391202)"
"(-0.2292556121160641, -4.1688352518933485)"
"(3.877139029473505, 2.3677543511184336)"
"(2.3971521215382827, -1.202529692237504)"
"(6.51676132024357, -0.7054641648606872)"
"(-5.004776459208304, 4.489510279584708)"
"(-3.7534364180334245, -1.7452204210638256)"
"(8.069747238243263, -3.2912884418473114)"
"(-6.8311522283856645, -3.649430571771733)"
"(-1.4618618416315292, 4.197821852219602)"
"(-6.707452303032001, -4.770621320117673)"
"(0.12566450968467585, 6.141137044636995)"
"(6.237217278935954, -2.2493775051881126)"
"(-0.08777739932121108, -10.367736332516765)"
"(-0.6799869510623354, 5.5306943693737525)"
"(-0.7757576123873738, -7.2621732994739885)"
"(2.3746323378633263, -5.0782033242665)"
"(8.146844467754912, -3.2611712506409565)"
"(0.01622917940495784, 0.929941277761447)"
"(1.1319915350998073, -3.8133874214585624)"
"(7.194247899403772, 0.09738684321480866)"
"(-5.83231059587011, -5.634379149112767)"
"(1.0646882086442249, -0.883875073894135)"
"(-8.30179243097438, 0.17287090886736473)"
"(-2.0064412624414634, -4.721982794341418)"
"(-1.2105021567268635, -6.149554441626183)"
"(0.7907928297722929, -5.449487847312842)"
"(-3.8045978585845854, 6.340462161970942)"
"(-1.1592662952085608, 6.301566201305826)"
"(3.4170536121560446, 6.124099850014684)"
"(1.7142196803956138, -3.5944371424406407)"
"(8.01308155148062, 0.3225299513648867)"
"(2.4938286169461366, -6.162477140355721)"
"(6.91030713536683, 2.575917408868845)"
"(5.012700637167532, -4.52962066974823)"
"(-1.872273393539005, 0.2202598870688483)"
"(-3.0635166514310286, 2.2868025394007176)"
"(-1.228984148493253, 5.058818002487662)"
