POS
"(-5.356720931349549, 1.2662721380016735)"
"(4.105160368545012, 1.894284062106137)"
"(7.956551537069091, 1.8948537885427674)"
"(5.444991766147973, -0.7515340594922783)"
"(7.236679769846793, 0.005060781099893032)"
"(7.947094662758342, 1.8969268130417776)"
"(-1.088341088483212, 8.686708807664743)"
"(-6.889127115215319, 1.589908689837161)"
"(4.301319891543387, 1.3091649668782166)"
"(1.5500974032280888, -10.099026458444582)"
"(4.35380087865202, -5.87928617506594)"
"(8.141782030274985, -3.257267627187753)"
"(7.5149987958389355, -1.3868847537070348)"
"(3.7554809955560517, 6.278967299291828)"
"(-5.2989575437323735, -1.9660201042964074)"
"(4.172588043318331, 6.6887716998672335)"
"(-5.360751374575381, -0.5959551558909734)"
"(8.021322418558329, 1.176168072034515)"
"(-2.062600884420019, -3.072802437939967)"
"(4.091770863710948, -0.49503351921798944)"
"(-1.611448459781112, 1.38644153723319)"
"(-3.829706076595434, -0.15582658501838798)"
"(3.2847580762453337, -5.65013556906272)"
"(4.323240952844817, -1.645259617101598)"
"(0.03572247044723174, 5.368990175568688)"
"(-9.37976594842544, -0.6477951763452655)"
"(-5.5290043062413226, 5.626197828668504)"
"(-0.6322591133455503, -5.1174879227928445)"
"(-4.288207854736648, -4.390160490006465)"
"(-7.5734933653790915, 1.842733836499153)"
"(-1.748234845344338, -7.1450844925600965)"
"(6.042941447095114, -4.4684502969027475)"
"(-0.8506797721157087, 1.1436887810850924)"
"(3.980785772390761, -0.6159882320426341)"
"(2.485702193389815, 5.977695038156933)"
"(8.061617686275563, 1.7775063310969657)"
"(-4.180395934441931, 5.315564623622594)"
"(-1.6755315777506596, -3.717396594743288)"
"(4.263010121367463, -2.5914046567489555)"
"(1.058977095545712, 8.122688470260343)"
"(-6.397487072830315, -0.540709702064117)"
"(3.212527447971368, -3.58217086791481)"
"(5.971580502538374, 4.309140935387415)"
"(-5.010813906221598, 6.087391264297365)"
"(6.205163004385585, 1.021963877197929)"
"(-4.030113943657642, 6.093994495946427)"
"(7.129142157156358, -0.5832350893512837)"
"(7.3533839984219425, 0.8999534904755446)"
"(-0.8644868365504011, 6.316733181538257)"
"(4.821050044511731, 0.5448891465518078)"
"(-3.6433894844553776, 6.2465632821303405)"
"(3.978884273996215, -5.79448676617759)"
"(-2.0114956352416207, -9.139026518131509)"
"(3.704254521343172, -4.922941273462607)"
"(-0.5775732702738052, -8.27998925555839)"
"(-3.4509866304012884, -6.0717866537669485)"
"(0.29531292917485247, -1.0331029706247303)"
"(-0.5701028211206661, -6.195081402428024)"
"(3.9124091512867256, 4.013845548812988)"
"(9.047860959867931, 1.4016000978929515)"
"(-0.5450983424250937, -3.150246678525056)"
"(4.132089876594702, 3.263039836422711)"
"(1.9004954544960042, -5.732807154543581)"
"(7.486744124636563, -1.5882572376018549)"
"(-9.18636730749888, 0.7360347147051073)"
"(0.7323760780395384, -2.7936471920978447)"
"(-2.569652263796759, -7.7870553661800495)"
"(-2.3678934971616314, -5.3545439818001)"
"(2.235660469493056, -0.8834030994545818)"
"(1.3320563751178573, 7.4400682205300255)"
"(-3.4289154855514665, 2.038378525598623)"
"(-6.403843229896404, -5.258697214200371)"
"(1.9116769176497148, -6.874538585131111)"
"(-4.124098005512116, 2.6274978137417637)"
"(10.278791667503677, -0.4964275692732461)"
"(-3.7964808382403827, 6.426598639550615)"
"(3.0604068895622527, -5.178892918608344)"
"(-2.000571999208812, -5.4111140682133865)"
"(-7.6970568480546415, 2.6207414175465997)"
"(-5.829505082903729, 0.06555942869566228)"
"(-2.856852385283368, 3.659119093627212)"
"(-4.055831066431383, 7.00996749394168)"
"(-1.6877535599768234, -8.106174738133047)"
"(0.5198802608658677, -1.506416883097418)"
"(3.0832663259230912, -9.28435893856169)"
"(1.4889951437206088, 9.493867500012831)"
"(-1.748234845344338, -7.1450844925600965)"
"(-3.6096135372863314, -4.009550148385423)"
"(-5.892632254191335, 3.228779162333453)"
"(4.935832247157137, -6.889959373128265)"
"(-4.760957063450256, 4.7324509403924475)"
"(-1.421613441819575, -9.613587407368641)"
"(1.6142545100632713, 4.22306341037544)"
"(-1.5987640871631668, -9.605093385923627)"
"(6.192995678565648, -3.0754231526429257)"
"(-6.9373587846156095, 3.2624783714736667)"
"(-1.336605508700007, 2.7741675709062017)"
"(-0.4910337918451865, -5.502978676124196)"
"(0.04385992411935965, -8.34790758444632)"
"(4.8198021432715095, 2.7974277414026636)"
"(-5.648725045285847, 0.7564450163911776)"
"(0.1508647101524006, 0.5943235322666788)"
"(4.923777039985065, -4.508219609245241)"
"(-3.2407215503160844, -6.171559034554928)"
"(-4.452919833077427, -6.320730900745053)"
"(-5.075167441586995, 4.261711699071868)"
"(0.06682887459277419, -11.256570458236913)"
"(3.852262933145547, -3.9321031422131294)"
"(-1.9453004437236916, 5.599522152384608)"
"(2.96775415677339, 3.6005199716915324)"
"(5.852551544246003, 4.47296407098313)"
"(-3.4534096252740705, -6.0791716514944785)"
"(1.5492059237195428, 6.465609056607353)"
"(-3.6693117898756924, 0.43390289955756955)"
"(-8.205642960907669, -3.2698180136502923)"
"(0.5180606936764416, 4.739493291715819)"
"(-3.035601038000494, -8.381369309516254)"
"(2.9467150294198077, -8.367183769107974)"
"(4.477086103140248, -0.5272676090383602)"
"(3.269025281813909, -1.2314691326995553)"
"(-1.136830868634218, 1.2614937159769213)"
"(4.191330002770978, -8.36681422556142)"
"(-5.517037902359456, -2.768695717144695)"
"(-4.73889622430028, 0.07513205177809645)"
"(2.203869980069831, 4.437877088688751)"
"(-4.294677209016256, -2.9566060363192466)"
"(0.023252520326232845, 5.2770496883698375)"
"(0.7102847248282815, -9.350195775942485)"
"(1.0257221535959744, 1.554177659906676)"
"(-7.435616560173844, -0.5053679340265262)"
"(-4.411496609042827, -2.6353975123547837)"
"(2.597264903684023, 5.817741221662828)"
"(-5.395977752111197, -1.4721991833124382)"
"(6.274653889554743, 0.8051783061358009)"
"(-7.211125059541253, -2.4019487390911984)"
"(3.2045841826934547, 1.6931629523982066)"
"(-8.02668622150876, 0.502022745562023)"
"(-8.239892908979305, -2.7572931265188414)"
"(0.7549722866648044, 7.170166157757386)"
"(-7.318601653588624, 0.2558581356345199)"
"(1.902924716085391, -0.5589185838126948)"
"(1.0485574505123938, 2.6109819751593464)"
"(-2.4638317145037356, 8.820825600102635)"
"(5.103313626975416, -4.413957445329775)"
"(2.8683298023094927, 1.7782708245481456)"
"(3.1899092608855133, 2.940948938669576)"
"(-7.358580745436258, -0.2488147393537216)"
"(10.111335334142336, 1.2119357168352276)"
"(1.0080304068279202, -0.3726781004694316)"
"(-2.010762749836468, -0.7053569899231495)"
"(8.294287592071468, -2.705996452956546)"
"(6.032622851404151, 1.9902525748593727)"
"(-5.0749150782509584, 4.261516624426707)"
"(-1.7532281604280202, 1.681497533174264)"
"(9.234451359525758, -0.9630446729532629)"
"(-0.6234296441612872, -8.310387128795908)"
"(5.05425858391197, 2.2427357611446777)"
"(0.19482699975282536, -10.296340643412634)"
"(1.6665971221224123, -3.41757696986616)"
"(-6.6706416743791905, 2.500351333960346)"
"(-7.062412863684539, -3.1482124513722773)"
"(-3.3583635834512853, -4.992252897006442)"
"(-8.363014669406773, -1.808704725642138)"
"(-8.43955108692924, -0.9936313046409385)"
"(0.15610418821298325, 1.5165455801368077)"
"(-2.637443323073092, 7.510532668589442)"
"(2.0186289575986827, 0.31638144030601345)"
"(0.9073113691858004, 6.184270724804053)"
"(-8.663691441077567, 1.8245432108644397)"
"(0.6005263721379966, -1.7553391402092384)"
"(-1.3052791719181016, -10.293398968695271)"
"(-3.634372898273253, 0.3770718250304973)"
"(3.2293960608442798, -0.9758200669975305)"
"(-4.110606573384896, 3.8244142530983654)"
"(4.102602615753798, -7.785789647234189)"
"(-4.823743537434813, -3.9551517522971973)"
"(-8.246976728599998, -2.757210174490803)"
"(-2.8108415622879357, -6.284296379341934)"
"(3.8753825567338818, -6.168406608108954)"
"(4.169182327657329, -1.8918156488274978)"
"(5.507967218063883, 3.5060827933700587)"
"(2.4360306684537236, -6.150193960391478)"
"(1.0597510072527312, 8.129439080146255)"
"(4.864563627780646, 5.634662313466656)"
"(6.2164482735827296, 4.001483560396469)"
"(-2.9953602574391445, -5.176166115119138)"
"(0.8753667500182892, 9.531526512663472)"
"(-1.3627298023395527, -0.8573895081408697)"
"(7.509433436620533, -1.3157225753173063)"
"(-0.530585819334076, 4.267730680825796)"
"(3.4952361898295377, -0.9923959334543437)"
"(2.979079171334356, -7.637661577447053)"
"(4.863342661209719, 5.478532046474294)"
"(-6.015833046823207, 0.3211566352487721)"
