POS
"(8.8508835, 13.824514)"
"(-3.7714903, 11.071092)"
"(-2.4487457, 10.204215)"
"(8.5457535, 9.128648)"
"(1.5220386, 7.3421183)"
"(9.044243, -0.37625337)"
"(-4.5891213, 9.252523)"
"(5.031874, 6.930021)"
"(6.5907836, 0.69311947)"
"(10.063719, 0.03277437)"
"(1.8327768, 4.9369197)"
"(12.371387, 2.1938865)"
"(-3.033072, 3.9869573)"
"(2.2830703, -1.7893945)"
"(10.085869, 12.023972)"
"(5.9734497, 0.12221038)"
"(10.078424, 13.785264)"
"(12.98709, 3.9914753)"
"(1.7192822, 3.0020103)"
"(1.875643, -2.6644533)"
"(10.136236, 14.174152)"
"(0.046481412, 10.753813)"
"(8.26372, 6.8309407)"
"(9.912884, 10.970471)"
"(1.0064019, 9.13826)"
"(8.647265, 14.405162)"
"(7.4458427, 1.5137832)"
"(9.599854, 0.5904749)"
"(-3.5407665, 5.4179163)"
"(2.1876347, 11.066641)"
"(-0.9427238, -1.8121996)"
"(3.2607644, 6.538981)"
"(-0.9252118, -1.0566876)"
"(11.763767, 6.2128816)"
"(0.89790666, 11.440098)"
"(5.4847436, 7.7270303)"
"(-1.7161396, 3.4502354)"
"(9.937712, 14.070201)"
"(6.230541, 4.2317452)"
"(9.535525, 14.551384)"
"(2.1890311, -3.0411596)"
"(6.862262, -0.8087633)"
"(9.242348, 10.095154)"
"(5.87561, 8.383989)"
"(10.787748, 3.3866048)"
"(2.4152086, 6.1117897)"
"(5.48397, 8.868199)"
"(4.196118, -1.5488164)"
"(1.6873082, -4.0193286)"
"(7.384745, 12.893735)"
"(9.714499, 12.035331)"
"(0.671011, 12.0243635)"
"(4.914683, 9.83527)"
"(12.419288, 3.2953787)"
"(1.249921, 10.598152)"
"(3.527016, 3.3924832)"
"(9.900865, 0.91307366)"
"(6.39554, 3.817767)"
"(1.5673298, 11.853782)"
"(-4.452411, 8.649901)"
"(1.9922128, -4.132014)"
"(0.070423745, 5.4491234)"
"(2.718201, 10.882614)"
"(-1.8297008, 1.1876343)"
"(9.568096, 14.674242)"
"(9.276102, 4.653068)"
"(3.6885498, 3.9026463)"
"(-0.12491516, 9.207604)"
"(11.691804, 7.7635427)"
"(1.262923, -4.5836086)"
"(5.641228, -2.185519)"
"(2.871978, 7.6935687)"
"(4.365251, 9.05623)"
"(7.4352174, -1.6776286)"
"(9.480205, 5.9646363)"
"(-0.8972662, 2.4191034)"
"(5.858432, 12.138829)"
"(8.911979, 14.418727)"
"(12.262608, 4.383849)"
"(3.7998438, -1.3624934)"
"(8.565032, -0.022364717)"
"(10.644418, 7.9816833)"
