POS
"(6.6890817, 16.138184)"
"(7.188763, 7.4649334)"
"(5.80556, 6.227597)"
"(6.7386723, 6.830693)"
"(0.12996708, 8.52504)"
"(7.354, 10.550324)"
"(4.188573, 5.8565197)"
"(4.1732, 16.24757)"
"(1.6770657, 6.127801)"
"(4.5532026, 12.10047)"
"(0.2549914, 10.665225)"
"(2.6031554, 16.077154)"
"(8.542976, 7.4173355)"
"(3.3235795, 11.883195)"
"(1.4358715, 5.0617766)"
"(1.8985044, 16.162947)"
"(5.6849675, 14.153571)"
"(1.3826531, 11.640339)"
"(1.1133506, 10.228169)"
"(3.920444, 7.283779)"
"(0.04951199, 5.3639684)"
"(2.776492, 5.9067693)"
"(6.9931192, 14.150053)"
"(1.9875305, 11.060036)"
"(-0.90265685, 6.7253118)"
"(8.27016, 7.905755)"
"(0.7114202, 14.773632)"
"(0.52379054, 7.7643876)"
"(4.288184, 6.348399)"
"(2.420354, 5.5288963)"
"(-0.6569778, 7.180841)"
"(6.588851, 8.943138)"
"(0.85855305, 5.938014)"
"(0.68232906, 9.722702)"
"(0.84084666, 12.604819)"
"(4.1946616, 13.067635)"
"(7.9244585, 8.507497)"
"(0.015168798, 7.180242)"
"(7.4279313, 6.966398)"
"(4.435102, 15.576594)"
"(0.35011396, 13.006974)"
"(-0.34038168, 9.801904)"
"(2.7649584, 16.472132)"
"(0.110806756, 8.947756)"
"(-0.41858983, 10.614211)"
"(-0.13575874, 12.628083)"
"(0.6010168, 11.716472)"
"(3.3001263, 7.6510844)"
"(2.796385, 6.948046)"
"(0.0676167, 6.382076)"
"(5.6702685, 15.689717)"
"(5.18197, 9.20129)"
"(4.3252554, 8.400293)"
"(6.719973, 10.951723)"
"(7.311762, 6.037382)"
"(5.908604, 8.021054)"
"(2.6546216, 15.308332)"
"(4.9283357, 15.773651)"
"(4.7757144, 10.740447)"
"(1.4113561, 15.216258)"
"(8.058845, 6.7444706)"
"(1.6510416, 14.508409)"
"(4.161002, 9.462178)"
"(5.0780015, 7.3878765)"
"(6.863375, 12.654155)"
"(3.587304, 8.705798)"
"(7.6608562, 8.709273)"
"(4.97138, 6.750914)"
"(1.4505807, 14.349432)"
"(4.1433024, 11.195895)"
"(-0.47704, 11.62673)"
"(6.166914, 11.835643)"
"(1.6485245, 13.036924)"
"(1.2195565, 5.7309556)"
"(3.9478292, 10.061219)"
"(6.352714, 15.382744)"
"(3.1275074, 8.7916975)"
"(-0.7086299, 8.206438)"
"(3.3360631, 6.4059324)"
"(6.6334615, 5.765076)"
"(5.7894535, 10.190153)"
"(2.9396727, 14.754041)"
"(3.6655433, 16.510422)"
"(7.3833275, 9.705108)"
"(4.8901806, 9.530758)"
"(6.142574, 14.046033)"
"(6.731128, 13.42662)"
"(5.4106197, 12.484629)"
"(5.71922, 5.9451423)"
"(5.9136915, 11.125781)"
"(4.862691, 16.774935)"
"(0.52050376, 13.920362)"
"(5.9389663, 16.209745)"
"(-0.07906492, 13.2542715)"
"(6.114314, 12.405564)"
"(6.9518743, 15.095322)"
"(-0.46010566, 5.9459414)"
"(2.0952463, 13.159655)"
"(4.618413, 8.140668)"
"(5.7380743, 15.215949)"
