POS
"(2.9970618123895174, -0.23554871185640347)"
"(-4.960197441365886, -1.485504907923649)"
"(6.976480035724194, -0.046814652163512695)"
"(-2.1848316665992495, 6.6431752749444275)"
"(-1.317240269205076, -5.379040538180181)"
"(-0.061825235328708955, 4.213448376692571)"
"(2.796244996569499, 2.6052804010195354)"
"(-2.7868078481151985, 0.9634278317726265)"
"(0.3499848267347574, 1.1077525625455773)"
"(-2.1848316665992495, 6.6431752749444275)"
"(-4.596216703340942, -2.4047969646142833)"
"(1.3898142975461665, 5.508447900190751)"
"(-1.3024761474790107, 4.795297046033754)"
"(-3.15996745572222, 4.615062042434726)"
"(-2.029597951331073, 4.609461553914075)"
"(-4.878157797261985, -1.4992064705953292)"
"(-1.7817685456936352, -3.473315254316528)"
"(1.126060768155532, 5.965148526255579)"
"(7.3135403641314465, 0.9342924362952301)"
"(-3.569222909452884, 2.3937576535250464)"
"(-1.6393573731417372, -3.4784990648231706)"
"(-3.6477507268754685, -3.759119617617044)"
"(0.9744038494094985, -1.5504714307068024)"
"(2.1477709684053035, -6.257851870808504)"
"(6.976480035724194, -0.046814652163512695)"
"(-0.06813254245561601, 0.1118127692903523)"
"(0.9421178419764914, -3.796032350668316)"
"(7.358102646579659, 0.9682223238724579)"
"(1.7766588368728808, 4.951950681114258)"
"(-4.547035349121957, -2.6632866195503953)"
"(1.4132525402508385, -5.302062181061957)"
"(-1.984117074604473, -0.9822834444499694)"
"(1.602924219673732, -3.205115116385895)"
"(-2.5196788453384737, 3.778756991480866)"
"(5.800852749735155, -1.8796609822590593)"
"(-4.436158031609298, 2.480974296840254)"
"(3.4404211847639132, 1.241796060731386)"
"(3.793847363440515, -0.8917302862406323)"
"(-0.0033218154171884965, -4.879521596466563)"
"(0.990958590616557, 0.24580951727986958)"
"(6.017498202799235, 0.251370650628513)"
"(1.2450035330970757, -0.5923954894589686)"
"(-3.597135388391702, 1.832846425957407)"
"(-1.9831134881156562, -0.9818560537258975)"
"(5.072944206803159, 2.5227488005631717)"
"(1.7766588368728808, 4.951950681114258)"
"(-0.6755408094936156, 3.010210519238595)"
"(1.5290331960768977, -6.411688981263554)"
"(-4.710517853074394, 1.4806799781484625)"
"(-1.019374293863516, 0.7331576076396896)"
"(-2.2338377230515127, -5.106988349890214)"
"(-3.642179389119778, 2.5711589853448453)"
"(-2.0370770333956076, 4.93502492512001)"
"(-5.0104003944873625, -2.9590199340559673)"
"(0.49803133715005393, -4.802993656964235)"
"(2.128518649222954, -5.176062720657372)"
"(3.8960677966360033, -1.7233430189974248)"
"(0.9123791025285505, 1.2861588867464242)"
"(0.9896131079233079, -0.4713178256572658)"
"(-4.603682608536445, -0.10686009056237539)"
"(5.102832695221014, -0.5359180689653433)"
"(-1.7129701856720687, 3.670339387131342)"
"(4.157729198641511, 2.4032011880812867)"
"(-1.1580105786888761, -3.341434375570515)"
"(-4.865924818858705, -1.4076993861495388)"
"(2.679722437746268, -4.734811002088554)"
"(6.39212370467044, 1.627161374472763)"
"(-3.37524940132524, -2.800867821760886)"
"(-2.949506529176976, -1.222366644562875)"
"(0.15416542152718338, -5.976643797502959)"
"(-0.5709165290108142, -5.449213930337266)"
"(3.307524472195536, 1.7194628351186503)"
"(-1.947744359986741, 1.6022605651780226)"
"(-3.0564316961574214, -5.096466400674033)"
"(1.4932632213713444, -5.318090162154233)"
"(4.06155369680946, -0.246613437671986)"
"(3.492067345155773, 3.3622578851589044)"
