POS
"(-2.7289333, 7.9854054)"
"(4.6509795, 8.307903)"
"(-1.5337263, 6.7160716)"
"(8.211679, -1.4806533)"
"(6.094269, 0.767088)"
"(0.37219256, 1.3311296)"
"(0.7089992, 14.732053)"
"(-0.5492953, -0.12398724)"
"(-0.30422565, 2.8733087)"
"(5.302057, -5.298304)"
"(-0.3244352, 3.4237275)"
"(5.064102, 12.811728)"
"(-1.5348915, -0.91626245)"
"(-1.7836744, -1.0593674)"
"(12.911743, 7.285851)"
"(-2.5721297, 4.949374)"
"(-3.151884, 4.3518353)"
"(13.336607, 7.487226)"
"(9.825232, 11.094713)"
"(0.50612646, 6.773801)"
"(-5.3888125, 4.3205276)"
"(7.284524, 3.5937731)"
"(-1.1453803, 11.37309)"
"(-1.111382, -1.3432848)"
"(10.427997, 4.820554)"
"(1.6583964, 4.164539)"
"(-2.4659438, 1.4255121)"
"(-2.4901342, 3.5875487)"
"(-1.2610292, 6.5773)"
"(4.889919, 11.219166)"
"(-0.5302732, 7.536378)"
"(-1.4180325, 2.8693657)"
"(-1.3178095, 9.801059)"
"(9.812803, 0.57665986)"
"(0.47628754, 4.628943)"
"(-0.85039306, -1.1375769)"
"(8.391846, 6.3685856)"
"(8.164677, 8.243559)"
"(3.8913498, 3.9721272)"
"(7.86807, -1.9370261)"
"(3.9077132, 9.15092)"
"(4.95346, 7.1909423)"
"(2.807357, 14.567267)"
"(10.562528, 3.7521255)"
"(5.669459, 6.6948104)"
"(-1.0844871, 1.6542416)"
"(11.707268, 2.1025183)"
"(5.3654976, -5.0615582)"
"(5.192508, 2.0529256)"
"(11.455634, 9.130885)"
"(1.2488505, 2.103944)"
"(1.2966409, 11.149054)"
"(7.0522437, -2.1114142)"
"(5.872066, -1.6168684)"
"(-4.33685, 9.252399)"
"(-4.6321435, 6.5286064)"
"(0.9757965, 10.982698)"
"(7.2550545, -1.5359021)"
"(2.5329804, 11.924184)"
"(1.1340046, 6.671738)"
"(-1.518045, 1.972256)"
"(9.065959, 3.6945949)"
"(-0.4616384, 12.979804)"
"(-5.723482, 5.9493313)"
"(12.776393, 5.302872)"
"(-6.4109063, 3.3624406)"
"(5.988263, 3.6839643)"
"(6.600092, -2.6651392)"
"(5.295351, 3.2113671)"
"(-1.6310022, 7.166258)"
"(-3.17896, 5.359838)"
"(0.0061643333, 6.6047926)"
"(5.78936, 7.242488)"
"(5.4749985, 8.791651)"
"(-3.3240967, 3.0730736)"
"(9.8959, 5.374359)"
"(0.7918394, 8.786707)"
"(4.102725, -0.4771312)"
"(0.4016332, 3.232336)"
"(8.367186, 12.04619)"
"(0.87068284, 5.377762)"
"(5.124621, 3.7157016)"
"(3.6344075, -2.3755062)"
"(6.339492, 4.89012)"
"(-2.689438, 2.8407245)"
"(9.397093, 6.775077)"
"(7.0793195, 13.156243)"
"(7.7454824, -2.4499335)"
"(8.45025, 4.232645)"
"(3.1689136, 6.5944815)"
"(6.0668526, 11.719242)"
"(7.40628, 12.098121)"
"(-1.0414752, 12.3050785)"
"(-5.936279, 2.6055198)"
"(-0.174666, 7.6469746)"
"(-2.5325546, 0.66106254)"
"(9.967626, 9.197424)"
"(3.6098135, 2.1443243)"
"(-5.522569, 8.173201)"
"(-0.8053059, 3.5886722)"
"(13.438808, 6.532432)"
"(11.446679, 7.872163)"
"(5.616068, 11.879841)"
"(-4.6094785, 7.0154576)"
"(3.089156, 12.465952)"
"(3.324729, 9.899462)"
"(9.394704, 2.2305837)"
"(6.6906695, 7.25888)"
"(6.437124, -4.1799965)"
"(-0.09229541, 8.675906)"
"(3.7142653, 12.651987)"
"(5.8896837, 9.728384)"
"(6.5985255, 9.959854)"
"(-4.9496703, 4.5801215)"
"(1.5935897, 12.646661)"
"(8.664944, 10.438223)"
"(9.00539, -0.79608303)"
"(3.4271483, -1.2665526)"
"(-2.8489876, 10.130038)"
"(-6.0420413, 7.0817776)"
"(-7.0829253, 5.1182795)"
"(8.373936, 4.9075017)"
"(-6.7046905, 4.503354)"
"(10.571599, 3.3826828)"
"(6.9069676, 12.167127)"
"(4.207476, -3.9325957)"
"(12.418931, 3.1300929)"
"(-7.0326858, 4.350557)"
"(6.2294784, -4.5207853)"
"(3.6262774, -2.0005486)"
"(-6.7595806, 5.3206625)"
"(5.770363, 14.009993)"
"(10.803905, 1.574873)"
"(3.7113812, 8.629839)"
"(11.102863, 8.500063)"
"(4.6478567, -2.536604)"
"(-1.0420623, 12.476465)"
"(6.333573, 12.112878)"
"(9.307198, 6.5450487)"
"(7.757245, 7.286184)"
"(-6.8564634, 6.4684434)"
"(3.6358776, 10.188395)"
"(-7.09285, 5.718571)"
"(-5.6611447, 5.5321393)"
