POS
"(9.855525, 7.472959)"
"(4.2263055, 7.414673)"
"(0.7335093, 10.393215)"
"(10.358848, 9.67902)"
"(3.3783216, 6.2038364)"
"(0.2976873, 10.910132)"
"(-1.7856953, 10.262368)"
"(5.978231, 1.5380799)"
"(6.70268, 0.4150305)"
"(5.0059733, 5.001781)"
"(-0.39559498, -1.5798424)"
"(9.486253, 8.887112)"
"(-0.3109058, 1.0595738)"
"(7.1198173, 3.2849545)"
"(5.1995797, 4.8437657)"
"(-1.8020613, 0.4783214)"
"(7.2750173, 3.7161136)"
"(8.107431, 8.029827)"
"(-2.64158, 9.893013)"
"(9.242836, 5.6146207)"
"(8.8633995, 11.173664)"
"(7.275431, 7.4095697)"
"(-3.0110393, 7.596894)"
"(5.920247, 1.1945444)"
"(1.9021096, -3.0401955)"
"(-0.76399064, 12.972038)"
"(6.955509, 3.44484)"
"(3.526707, 9.393837)"
"(10.483003, 10.486094)"
"(3.9394553, 14.12175)"
"(-3.1000156, 4.0381603)"
"(2.958501, -1.7457823)"
"(10.501474, 10.700474)"
"(8.254362, 1.9655403)"
"(7.0753136, 4.2979465)"
"(9.242633, -0.15904965)"
"(9.44473, -0.3203709)"
"(4.097152, 9.78385)"
"(2.6548493, 7.7651486)"
"(1.9261775, -2.5596924)"
"(9.66883, -0.23207779)"
"(-0.7176488, 13.738797)"
"(-4.934298, 3.7384539)"
"(7.2533975, 4.1394277)"
"(6.065055, 1.8715874)"
"(6.714502, 3.1405385)"
"(6.718601, 4.9381604)"
"(-2.2779906, 8.536111)"
"(-0.9499812, 8.080549)"
"(9.246132, 0.88282007)"
"(4.964286, 13.954681)"
"(-3.866645, 2.2839572)"
"(3.926819, -3.7322063)"
"(-3.2506845, 9.546976)"
"(7.7312865, 4.7379456)"
"(8.240563, 4.699558)"
"(8.680901, 6.778283)"
"(2.379095, 12.140706)"
"(9.577875, 11.169892)"
"(5.938604, 7.689993)"
"(-1.8085227, 10.580645)"
"(13.637055, 6.649939)"
"(0.07508622, 3.7076323)"
"(5.2159333, -5.597717)"
"(4.209706, -4.480056)"
"(3.9724667, 5.4745655)"
"(-3.0927687, 7.9503884)"
"(2.164681, 7.1962523)"
"(-3.793408, 8.54273)"
"(1.1116067, 15.119918)"
"(9.572455, 3.2554798)"
"(1.0420624, 8.47824)"
"(1.5551234, -2.7157788)"
"(-4.7194705, 9.398758)"
"(-0.19927855, -0.95368755)"
"(5.8700976, 13.533656)"
"(0.5003838, -2.1495132)"
"(13.405789, 7.1990786)"
"(11.113659, 1.7160258)"
"(1.4959266, 2.6989775)"
"(4.326474, -3.8104463)"
"(-2.4630017, 8.969094)"
"(3.2392573, 6.0640187)"
"(10.019901, 0.62501687)"
"(-1.585392, 1.1525307)"
"(9.417953, 0.15204753)"
"(5.09109, 0.6420078)"
"(7.98441, 7.0394225)"
"(-1.0275972, -1.2152787)"
"(2.5357847, 9.03826)"
"(8.599096, 8.8242035)"
"(11.409111, 8.919052)"
"(7.4092727, -1.6060293)"
"(3.564775, -1.8600241)"
"(1.8937454, 10.159552)"
"(11.195955, 2.305625)"
"(4.82958, 6.3768306)"
"(12.929885, 7.127231)"
"(0.94427365, 10.820391)"
"(7.919519, 2.6673288)"
"(12.554949, 4.724417)"
"(-6.3072643, 3.1439273)"
"(4.258662, 5.6421537)"
"(0.0011438961, 11.56896)"
"(7.1571436, -2.7396069)"
"(-4.194721, 2.012014)"
"(1.8760661, 1.6408986)"
"(1.3034499, 2.1793022)"
"(10.07531, 4.336203)"
"(1.5635774, 14.31849)"
"(10.4579115, 2.076646)"
"(4.6353636, 10.674913)"
"(4.8365116, -3.513102)"
"(-0.37654805, 0.8124672)"
"(4.0622044, 13.44638)"
"(2.7015603, 5.618514)"
"(0.4443249, 7.235938)"
"(1.8012314, 8.928924)"
"(7.505043, 0.46170732)"
"(-1.1249052, 12.287825)"
"(0.50694406, -0.4463454)"
"(7.526675, 6.2238145)"
"(3.4447124, -4.1755667)"
"(10.482582, 10.90401)"
"(-1.7617081, 8.858329)"
"(0.72606945, -0.013170595)"
"(-6.9966908, 5.6740522)"
"(-3.2796094, 2.0652547)"
"(6.223737, 5.262058)"
"(4.0116286, 10.702027)"
"(9.53907, 6.977695)"
"(7.2662697, 12.116431)"
"(-4.869583, 1.2039448)"
"(8.137325, 0.63458645)"
"(4.5458245, -5.5217323)"
"(-2.119238, 0.61500245)"
"(-0.7404686, 9.202739)"
"(-6.7614546, 6.2462535)"
"(0.75682247, 12.838343)"
"(2.424226, 5.9499736)"
"(10.587163, 3.0975246)"
"(-1.9958463, 1.0932848)"
"(6.805888, -2.0661023)"
"(-3.0338738, 2.3959947)"
"(10.065727, 10.660296)"
"(-0.047447417, 13.4561205)"
"(-1.2079775, 8.324807)"
"(4.8464384, 5.2029424)"
"(5.788448, 2.2491267)"
"(0.21593173, 11.445942)"
"(-1.8741579, 7.559093)"
"(6.3834314, 1.8019297)"
"(7.7977643, 0.7756012)"
"(8.048466, 5.576238)"
"(-1.3232667, 7.320988)"
"(-2.8459265, 7.9271846)"
"(10.3361225, 8.309491)"
"(8.935439, 11.909434)"
"(8.161376, 7.942052)"
"(4.745972, 13.732887)"
"(5.8139834, 7.180886)"
"(0.42694333, -0.80511856)"
"(-3.4181135, 1.2479113)"
"(8.278296, -1.4234799)"
"(12.249975, 2.6032343)"
"(8.882965, 11.757777)"
"(12.534367, 5.6725755)"
"(0.05186696, 14.726077)"
"(11.087521, 9.351185)"
"(0.81304985, 4.1472225)"
"(6.956085, -2.3634756)"
"(9.2837305, 9.366396)"
"(11.231277, 9.278433)"
"(7.7869124, 2.6264067)"
"(2.8478098, 1.5106194)"
"(10.467121, 4.019471)"
"(8.253369, 12.165646)"
"(-1.733812, 11.261219)"
"(12.549865, 4.55394)"
"(11.580486, 9.321346)"
"(5.542712, 5.6944437)"
"(-0.32251683, 9.892511)"
"(2.9748435, 1.3561656)"
"(9.055115, 1.8490905)"
"(3.019969, 14.42137)"
"(-4.039173, 2.5421395)"
"(1.5828564, 1.9878072)"
"(0.6933237, 0.86322)"
"(7.892694, 6.4327836)"
"(-6.9599175, 5.5712886)"
"(2.6463268, -2.4448626)"
"(8.771507, 0.72719014)"
"(-2.2774932, 5.8686113)"
"(-0.36151743, 8.93861)"
"(3.8095832, 9.307119)"
"(11.006948, 9.827176)"
"(8.131493, 1.9076147)"
"(4.8704295, 7.300463)"
"(5.6421423, -3.9799826)"
"(2.848464, 8.373907)"
"(0.93212384, 5.0944343)"
"(1.1863998, 2.846586)"
"(-6.242986, 7.245635)"
"(1.0881296, -2.3037179)"
"(-3.56235, 0.014921536)"
"(4.3612604, -5.4048657)"
"(1.0894182, 13.312471)"
"(7.993958, 12.540351)"
"(-6.79652, 4.5618215)"
"(2.9910374, -4.034641)"
"(-0.99328053, 0.81590486)"
"(1.841517, 7.3134437)"
"(8.477268, 7.318593)"
"(0.3843761, 9.453965)"
"(1.950716, 11.990383)"
"(5.3774447, 10.925493)"
"(-1.9475976, 1.9786586)"
"(-3.3830185, 1.8190312)"
"(11.484356, 7.8342447)"
"(4.7588534, 1.2254826)"
"(-6.683791, 3.6972313)"
"(1.0361241, 14.753423)"
"(2.4740546, -0.6452372)"
"(-2.6915438, 0.9243966)"
"(3.320297, 0.95096433)"
"(3.0719912, 11.629268)"
"(6.196476, 0.93719333)"
"(7.377867, 12.904497)"
"(4.4201627, -3.0008087)"
"(6.7373657, 3.8186052)"
"(8.551217, 8.719689)"
"(11.647576, 1.9744874)"
"(-5.7466645, 3.4862528)"
"(-1.9147247, 2.4480996)"
"(-3.6638043, 2.4725323)"
"(0.04608723, 6.515227)"
"(9.7514, 1.056198)"
"(0.47230047, 12.823796)"
"(-1.3058276, 9.167772)"
"(8.183214, 5.5578823)"
"(6.5731387, 12.393567)"
"(7.6130757, -0.89361155)"
"(-1.2338696, 12.607664)"
"(-3.4307451, 4.7094917)"
"(7.9423804, 6.8502064)"
"(0.7298746, 11.985346)"
"(3.3455539, 8.404311)"
"(7.2477517, 0.014300033)"
"(3.6447673, 1.6560873)"
"(3.317115, 8.919529)"
"(-6.6285653, 3.3589659)"
"(8.789332, -0.93777215)"
"(5.828828, 2.7633817)"
"(-0.93130976, 13.192673)"
"(7.098483, -1.21068)"
"(-4.2756476, 3.580429)"
"(-4.1891594, 9.652567)"
"(4.423015, 1.8929327)"
"(-1.3611732, 12.08658)"
"(10.3055, 1.0523347)"
"(11.363339, 6.94482)"
"(8.728546, 5.798162)"
"(2.7731357, 10.256703)"
"(7.542165, 1.6170216)"
"(7.3292193, 4.2467146)"
"(8.567364, 5.2155213)"
"(-0.541613, -0.4598128)"
"(-5.043833, 2.1806061)"
"(7.8765, 11.069356)"
"(6.4263234, -3.6222272)"
"(6.6308284, 11.321705)"
"(2.528548, 7.573735)"
"(-2.6312227, 5.5827146)"
"(4.9324374, 3.4601872)"
"(2.498299, 3.3819237)"
"(9.535932, 1.4846721)"
"(12.375454, 4.089086)"
"(5.329634, 8.112432)"
"(-3.354099, 8.2314825)"
"(-4.9043403, 6.0968237)"
"(-0.9118095, 7.5192795)"
"(0.1836668, 11.092998)"
"(4.486785, -2.183212)"
"(-1.6412636, 10.086831)"
"(2.660684, 11.432691)"
"(-3.34445, 9.89342)"
"(-4.658922, 1.4304147)"
"(0.22161229, -1.3074967)"
"(-2.5515258, 8.958389)"
"(2.6236787, 14.720645)"
"(1.2968428, -2.4229474)"
"(-5.2113395, 1.5003748)"
"(-5.4913735, 7.2402425)"
"(2.8193254, -2.080608)"
"(12.741097, 6.4255753)"
"(11.060723, 5.340265)"
"(0.35546827, 10.760537)"
"(12.309913, 6.2516365)"
"(6.208161, 3.3644896)"
"(4.4694753, 10.781017)"
"(7.155718, -0.49351713)"
"(10.299661, 4.1761065)"
"(5.6526446, 2.1613126)"
"(5.414801, -5.269768)"
"(4.303247, 2.905708)"
"(-1.9431977, 7.9855742)"
"(9.852523, 10.713694)"
"(4.0873566, -1.2963765)"
"(6.7105746, -3.9831386)"
"(7.3960323, 7.640704)"
"(6.459614, 8.93214)"
"(0.05998497, -0.08654513)"
"(-2.6514978, 7.522577)"
"(12.353737, 8.287709)"
"(-5.0374627, 7.256803)"
"(1.7401665, -0.5648271)"
"(5.8369627, 0.059302453)"
"(3.2204642, 0.25196502)"
"(6.258292, 9.112582)"
"(10.354166, 5.1818523)"
"(8.942025, 2.3592396)"
"(-0.94825304, -1.6808435)"
"(9.130995, 5.0299873)"
"(-4.4931364, 5.280127)"
"(12.279875, 3.5814924)"
"(2.8573058, 4.374717)"
"(6.890759, -2.78487)"
"(5.110341, -4.0598497)"
"(-0.9994417, 6.727029)"
"(-3.4815114, 2.2733688)"
"(-6.097637, 5.959138)"
"(12.065131, 7.1027107)"
